School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Westwood High School,"Mesa, AZ",85201,3564,145,20:1,71,Yes,Yes,64,TRUE,52,2,52,1747,1678,Yes,NULL,7
Phoenix Country Day School,"Paradise Valley,AZ",85253,NULL,7,9:1,NULL,No,No,NULL,FALSE,70,10,6,NULL,NULL,No,NULL,4
Basis Peoria,"Peoria, AZ",85383,943,157,NULL,90,Yes,Yes,NULL,FALSE,42,48,4,538,468,Yes,A,6
Centennial High School,"Peoria, AZ",85381,2052,64,23:1,95,Yes,Yes,27,TRUE,56,3,31,1043,958,Yes,A,2
Desert Pointe Academy,Peoria. AZ,85345,NULL,349,NULL,NULL,Yes,Yes,44,TRUE,35,4,46,NULL,NULL,Yes,B,4
Great Hearts Academies - Glendale Prep,"Peoria, AZ",85034,593,87,NULL,95,No,No,NULL,FALSE,73,9,12,307,320,NULL,NULL,5
Liberty High School,"Peoria, AZ",85212,330,731,NULL,NULL,No,No,50,FALSE,45,3,39,1311,1252,No,A,2
Ombudsman - Charter Northwest,Dooris A7,85345,155,NULL,NULL,20,No,No,NULL,TRUE,31,0,51,79,77,Yes,NULL,6
Peoria Accelerated High School,"Peoria, AZ",85345,508,NULL,NULL,15,No,No,84,FALSE,20,1,64,257,271,No,A,3
Peoria Ecampus,"Peoria, AZ",85304,455,NULL,NULL,50,No,No,0,TRUE,71,7,12,64,73,No,NULL,3
Peoria Flex Academy,"Peoria, AZ",85345,93,NULL,4:1,65,No,No,31,TRUE,44,0,40,49,49,No,B,6
Peoria High School,Peoria. AZ,85345,1582,154,22:1,NULL,No,No,48,FALSE,30,2,55,825,745,Yes,A,8
Sonoran Science Academy-peoria,"Peoria, AZ",85382,224,NULL,NULL,,No,No,44,TRUE,54,13,22,151,115,No,B,7
Student Choice High School,Peoria. AZ,85382,235,237,NULL,30,No,No,NULL,FALSE,72,0,14,876,914,No,A,2
Cinrice Marintsin Liah cchool,Dooria AZ,85381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,0,14,NULL,NULL,No,NULL,4
West-mec - Centennial High School,"Peoria, AZ",85381,2,NULL,NULL,NULL,No,No,NULL,FALSE,60,0,20,1043,958,No,A,1
West-mec - Liberty High School,"Peoria, AZ",85305,445,NULL,1:1,1,No,No,NULL,TRUE,100,0,0,1311,1252,No,A,6
West-mec - Peoria High School,"Peoria, AZ",85345,1,NULL,NULL,NULL,No,No,NULL,FALSE,NULL,NULL,100,825,745,NULL,NULL,8
West-mec - Sunrise Mountain High School,Peoria. AZ,85382,2,NULL,NULL,NULL,No,No,NULL,FALSE,67,0,17,1042,932,Yes,B,5
91st Psalm Christian School,"Phoenix,AZ",85382,NULL,NULL,NULL,NULL,No,No,NULL,TRUE,35,0,46,NULL,NULL,No,NULL,3
Aaec - Paradise Vallev,"Phoenix,AZ",85032,322,151,NULL,95,No,No,14,FALSE,80,3,11,105,195,Yes,NULL,NULL
Aaec - Smcc Campus,"Phoenix,AZ",85012,499,NULL,NULL,95,No,No,NULL,FALSE,9,1,78,177,282,Yes,A,4
Accel,"Phoenix,AZ",85745,245,NULL,NULL,50,Yes,Yes,NULL,TRUE,43,1,40,NULL,NULL,No,NULL,6
Accelerated Learning Center,"Phoenix,AZ",85745,240,NULL,NULL,51,Yes,Yes,NULL,FALSE,44,1,39,266,256,No,B,4
Adobe Mountain school,"Phoenix,AZ",85027,NULL,NULL,NULL,NULL,No,No,NULL,FALSE,32,0,45,NULL,NULL,No,,6
Aim Higher College Prep Academy,"Phoenix,AZ",85040,67,NULL,NULL,NULL,No,No,29,TRUE,4,0,88,26,15,Yes,B,2
Alhambra High School,"Phoenix,AZ",85019,2395,165,18:1,70,Yes,Yes,84,TRUE,6,5,79,1173,991,Yes,NULL,7
Amerischools Academy - Camelback,"Phoenix,AZ",85018,125,NULL,NULL,NULL,No,No,11,FALSE,21,3,44,35,43,No,NULL,4
Arcadia High School,"Phoenix,AZ",85018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,NULL,NULL,40,773,863,NULL,A,3
Arizona Call-a-teen Center For Excellence,"Phoenix,AZ",85003,99,411,NULL,NULL,No,No,NULL,TRUE,3,0,89,NULL,NULL,NULL,NULL,5
Arizona Collegiate High School,"Phoenix,AZ",85017,154,NULL,NULL,45,Yes,Yes,67,TRUE,,,,67,77,NULL,B,2
Arizona Conservatory For Arts And Academics,"Phoenix,AZ",85204,181,59,NULL,80,Yes,Yes,34,TRUE,61,1,25,48,66,Yes,A,4
Arizona Cultural Academy & College Prep,"Phoenix,AZ",85042,349,NULL,11:1,NULL,Yes,Yes,81,TRUE,40,27,4,NULL,NULL,No,B,1
Arizona Insight Academy,"Phoenix,AZ",85305,1127,456,NULL,41,Yes,Yes,0,TRUE,44,1,34,507,546,Yes,A,6
Arizona Lutheran Academy,"Phoenix,AZ",85041,239,NULL,11:1,,Yes,NULL,0,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Arizona Preparatory Academy,"Phoenix,AZ",85037,1499,NULL,NULL,7,No,Yes,82,TRUE,31,1,52,658,900,No,A,2
Arizona School For The Arts,"Phoenix,AZ",85004,842,481,1:1,90,No,Yes,NULL,FALSE,NULL,NULL,NULL,223,536,Yes,B,14
Arizona Virtual Academy,"Phoenix,AZ",85004,5877,570,1:1,71,Yes,Yes,NULL,TRUE,NULL,NULL,NULL,2262,2248,Yes,A,7
Asdb/phoenix Day School,"Phoenix,AZ",85021,242,242,NULL,50,No,Yes,NULL,TRUE,NULL,NULL,NULL,89,67,Yes,B,NULL
Aspc-phoenix/globe,"Phoenix,AZ",85009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Asu Preparatory Academy- Phoenix Elementary,"Phoenix,AZ",85006,412,731,NULL,NULL,No,Yes,NULL,FALSE,8,1,74,259,225,Yes,NULL,18
Asu Preparatory Academy- Phoenix High School,"Phoenix,AZ",85006,329,439,NULL,95,Yes,Yes,34,TRUE,7,1,80,180,185,Yes,NULL,NULL
Bostrom Alternative Center,"Phoenix,AZ",85017,250,NULL,11.1:1,20,No,yes,90,TRUE,4,0,77,141,115,No,C,5
Bourgade Catholic High School,"Phoenix,AZ",85017,700,NULL,14:1,,yes,yes,NULL,TRUE,28,6,54,194,196,Yes,B,3
Brophy College Preparatory,"Phoenix,AZ",85012,1200,,15:1,,yes,yes,NULL,TRUE,60,7,18,1391,0,Yes,A+,2
Camelback High School,"Phoenix,AZ",85016,1800,341,18.7:1,82,yes,yes,82,TRUE,8,1,77,1012,1140,Yes,C+,7
Career Success High School - Glendale,"Phoenix,AZ",85017,500,NULL,NULL1:1,,yes,yes,51,TRUE,4,0,41,31,22,No,NULL,4
Career Success High School - Main Campus,"Phoenix,AZ",85017,600,NULL,NULL1:1,18.5,yes,yes,62,TRUE,5,0,83,78,107,No,C-,6
Career Success Jr/sr High School - North Phoenix,"Phoenix,AZ",85022,400,NULL,NULL1:1,,yes,yes,74,TRUE,35,0,50,76,43,No,D-,5
Carl Hayden High School,"Phoenix,AZ",85009,1500,,18:1,69,yes,yes,85,TRUE,1,0,95,1099,1009,Yes,C,8
Central High School,"Phoenix,AZ",85012,2200,,17.1:1,,yes,yes,86,TRUE,7,3,72,1269,1081,Yes,C-,6
Children First Academy - Phoenix,"Phoenix,AZ",85003,300,NULL,NULL1:1,,no,yes,84,TRUE,8,1,56,117,128,No,D-,4
Cornerstone Charter School,"Phoenix,AZ",85021,400,NULL,NULL1:1,31,yes,yes,98,TRUE,22,0,57,78,60,No,C,1
Cortez High School,"Phoenix,AZ",85051,1700,,20.5:1,80,yes,yes,69,TRUE,21,6,56,579,548,Yes,B-,7
Crestview College Preparatory High School,"Phoenix,AZ",85032,350,NULL,NULL1:1,13,yes,yes,82,TRUE,15,0,74,144,106,No,C-,3
Crown Point High School,"Phoenix,AZ",85033,900,NULL,NULL1:1,99,yes,yes,NULL,TRUE,10,1,84,44,48,No,A,5
Cyber High School,"Phoenix,AZ",85020,450,NULL,NULL1:1,,yes,yes,94,TRUE,17,2,62,25,28,No,C,2
Deer Valley Middle School,"Phoenix,AZ",85027,850,317,18.7:1,,no,yes,61,TRUE,44,2,43,302,295,No,B+,4
Desert Foothills Middle School,"Phoenix,AZ",85053,720,428,24:1,,no,yes,100,TRUE,49,3,37,368,325,No,B,6
Desert Garden Montessori,"Phoenix,AZ",85044,300,,5:1,,no,yes,NULL,TRUE,64,2,6,138,130,No,A,1
Desert Marigold School,"Phoenix,AZ",85042,200,NULL,NULL1:1,NULL,No,yes,94,TRUE,72,2,14,156,170,No,B+,0
Desert Valleys Region,"Phoenix,AZ",85021,1500,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,,,,,,No,B-,8
Desert Vista High School,"Phoenix,AZ",85048,1900,44,24:1,95,yes,yes,100,TRUE,62,9,16,1518,1528,No,A,10
Desert Voices Oral Learning Center,"Phoenix,AZ",85028,100,NULL,5:1,NULL,No,yes,NULL,TRUE,92,0,8,4,20,No,NULL,5
Durango Transitional Learning Center,"Phoenix,AZ",85009,80,74,16.4:1,87,No,yes,96,TRUE,20,1,40,67,15,No,B-,8
E-institute At Metro,"Phoenix,AZ",85051,450,NULL,NULL1:1,5,yes,yes,50,TRUE,13,3,68,70,41,No,NULL,4
E-institute At Union Hills,"Phoenix,AZ",85308,300,NULL,NULL1:1,15,yes,yes,55,TRUE,66,0,28,103,73,No,B+,3
Franklin Police And Fire High School,"Phoenix,AZ",85007,600,65,10.4:1,97,yes,yes,78,TRUE,7,1,90,177,145,No,B-,7
Gateway Early College High School,"Phoenix,AZ",85034,550,155,NULL1:1,98,yes,yes,81,TRUE,5,0,85,116,138,No,B,6
Genesis Academy,"Phoenix,AZ",85004,300,NULL,NULL1:1,32,yes,yes,0,TRUE,3,0,88,55,64,No,C,2
Girls Leadership Academy Of Arizona,"Phoenix,AZ",85013,450,NULL,NULL1:1,90,yes,yes,0,TRUE,5,2,76,0,120,No,B,4
Glenview College Preparatory High School,"Phoenix,AZ",85020,600,161,NULL1:1,88,yes,yes,82,TRUE,12,1,74,97,96,No,B-,5
Gompers Private School,"Phoenix,AZ",85017,200,NULL,11:1,NULL,No,yes,NULL,TRUE,27,0,45,7,15,No,NULL,3
Great Hearts Academies - Archway Veritas,"Phoenix,AZ",85018,400,NULL,NULL1:1,,no,yes,NULL,TRUE,77,4,10,251,285,No,A+,5
Great Hearts Academies - North Phoenix Prep,"Phoenix,AZ",85022,350,64,NULL1:1,92,No,yes,NULL,TRUE,71,7,15,170,182,No,A,4
Great Hearts Academies - Teleos Prep,"Phoenix,AZ",85034,250,NULL,NULL1:1,NULL,No,yes,55,TRUE,6,1,42,111,105,No,A+,3
Great Hearts Academies - Veritas Prep,"Phoenix,AZ",85018,300,85,NULL1:1,94,No,yes,NULL,TRUE,76,3,16,340,369,No,A+,6
Greenway High School,"Phoenix,AZ",85053,900,69,21:1,91,yes,yes,34,TRUE,59,4,29,752,677,No,B+,8
Greenway Middle School,"Phoenix,AZ",85032,700,456,19.4:1,NULL,No,yes,73,TRUE,10,2,82,251,248,No,C+,3
High-star Center For Children,"Phoenix,AZ",85019,250,NULL,14:1,75,No,yes,NULL,TRUE,85,0,12,44,56,No,NULL,2
Holy Cross Lutheran School,"Phoenix,AZ",85023,300,NULL,6:1,NULL,yes,yes,NULL,TRUE,14,14,71,3,4,No,NULL,1
Hope High School,"Phoenix,AZ",85043,600,Unranked,NULL1:1,74,yes,yes,100,TRUE,5,0,73,111,87,No,C-,7
Horizon Community Learning Center,"Phoenix,AZ",85048,400,NULL,NULL1:1,NULL,yes,yes,0,TRUE,67,6,18,324,365,No,NULL,4
Humanities And Sciences High School - Phoenix,"Phoenix,AZ",85014,700,Unranked,NULL1:1,50,yes,yes,NULL,TRUE,18%,0,82,5,6,No,B+,6
Intelli-school - Metro Center,"Phoenix,AZ",85029,350,Unranked,NULL1:1,8,No,yes,61,TRUE,25,0,59,48,63,No,C+,5
Intelli-school - Paradise Valey,"Phoenix,AZ",85022,400,Unranked,NULL1:1,7,No,yes,NULL,TRUE,37%,0,52,48,39,No,NULL,3
International Commerce High School - Phoenix,"Phoenix,AZ",85014,450,Unranked,NULL1:1,38,yes,yes,1,TRUE,9,0,80,294,247,No,D+,7
Jail-maricopa County Sheriffs Office,"Phoenix,AZ",85003,50,NULL,NULL,NULL,No,No,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,C-,2
Kaizen Education Foundation Da Maya High School,"Phoenix,AZ",85051,300,Unranked,NULL1:1,16,yes,yes,1,TRUE,13,3,66,230,148,No,C-,4
Kaizen Education Foundation Da Quest High School,"Phoenix,AZ",85042,280,Unranked,NULL1:1,12,yes,yes,71,TRUE,4,0,80,18,31,No,C-,6
Kaizen Education Foundation Da Summit High School,"Phoenix,AZ",85006,320,Unranked,NULL1:1,13,yes,yes,0,TRUE,6,1,79,205,153,No,C-,5
Keystone Montessori Charter School,"Phoenix,AZ",85048,200,Unranked,NULL1:1,NULL,No,yes,NULL,TRUE,62,7,22,112,123,No,A+,3
Learning Institute The,"Phoenix,AZ",85014,500,Unranked,NULL1:1,NULL,No,yes,28,TRUE,24,0,64,70,60,No,D,7
Life Skills Center Of Arizona,"Phoenix,AZ",85051,300,203,NULL1:1,79,No,No,64,TRUE,18,1,61,98,85,No,C,4
Madison Highland Prep,"Phoenix,AZ",85014,600,17,NULL1:1,97,yes,yes,38,TRUE,31,2,53,146,102,Yes,A,6
Maryvale High School,"Phoenix,AZ",85033,1500,209,21.5:1,76,yes,yes,80,TRUE,3,0,92,1488,1503,Yes,C,8
Metro Tech High School,"Phoenix,AZ",85015,1200,40,14.3:1,98,yes,yes,85,TRUE,2,0,96,751,965,No,B-,9
Metrocenter Academy,"Phoenix,AZ",85051,400,354,13.5:1,NULL,No,yes,9,TRUE,26,1,57,95,67,No,NULL,2
Metropolitan Arts Institute,"Phoenix,AZ",85007,350,172,NULL1:1,94,yes,yes,NULL,TRUE,52,1,36,72,182,No,A,1
Midtown High School,"Phoenix,AZ",85035,800,Unranked,NULL1:1,1,yes,yes,62,TRUE,4,0,96,15,11,No,A,8
Moon Valley High School,"Phoenix,AZ",85029,1000,67,21.6:1,91,yes,yes,49,TRUE,41,3,42,737,732,Yes,B+,5
Mosaica Online High School Of Arizona,"Phoenix,AZ",85016,200,584,NULL1:1,NULL,yes,yes,NULL,TRUE,80,0,0,2,3,No,C,2
Mountain Pointe High School,"Phoenix,AZ",85044,1100,184,23.3:1,88,yes,yes,1,TRUE,35,3,30,1281,1352,Yes,B+,10
Mountain Sky Middle School,"Phoenix,AZ",85023,750,322,22.6:1,NULL,No,yes,55,TRUE,47,2,40,389,381,No,B,3
Mountain Trail Middle School,"Phoenix,AZ",85024,600,266,24.5:1,NULL,No,yes,16,TRUE,70,2,21,367,344,No,A-,4
New World Educational Center,"Phoenix,AZ",85014,800,307,NULL1:1,NULL,yes,yes,45,TRUE,7,1,84,99,90,No,NULL,6
Nfl Yet College Prep Academy,"Phoenix,AZ",85040,600,237,NULL1:1,90,No,yes,98,TRUE,2,0,94,159,131,No,B-,7
North Canyon High School,"Phoenix,AZ",85024,1500,Unranked,21.9:1,NULL,yes,yes,39,TRUE,35,3,52,921,973,Yes,B,9
North High School,"Phoenix,AZ",85014,1200,158,19:1,81,yes,yes,80,TRUE,6,1,82,1294,1269,Yes,C-,12
North Pointe Preparatory,"Phoenix,AZ",85051,700,114,NULL1:1,88,yes,yes,33,TRUE,48,3,40,381,454,No,B-,6
Northwest Christian School,"Phoenix,AZ",85053,500,NULL,16:1,NULL,yes,yes,NULL,TRUE,83,2,9,752,701,No,B+,4
Nueva Vista School / Arizona State Hospital,"Phoenix,AZ",85008,300,Unranked,NULL,NULL,No,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,B-,8
Ombudsman - Charter East,"Phoenix,AZ",85018,250,Unranked,NULL1:1,12,yes,yes,NULL,TRUE,14,1,69,41,30,No,C,5
Ombudsman - Charter East li,"Phoenix,AZ",85018,180,Unranked,NULL1:1,16,yes,yes,4,TRUE,12,0,79,87,64,No,D-,3
Ombudsman - Charter Metro,"Phoenix,AZ",85051,300,Unranked,NULL1:1,16,yes,yes,6,TRUE,28,2,55,70,48,No,C-,7
Ombudsman - Charter Northeast,"Phoenix,AZ",85032,200,Unranked,NULL1:1,18,yes,yes,NULL,TRUE,83,0,9,14,9,No,NULL,4
Osborn Middle School,"Phoenix,AZ",85013,600,290,19.9:1,NULL,No,yes,9,TRUE,10,3,65,304,269,No,C,10
Palo Verde Middle School,"Phoenix,AZ",85051,750,452,20:1,NULL,No,yes,100,TRUE,17,4,64,523,448,No,C+,3
Pan-american Charter School,"Phoenix,AZ",85017,600,359,NULL1:1,NULL,No,yes,99,TRUE,2,1,96,361,321,No,C,5
Paradise Valley Christian Preparatory,"Phoenix,AZ",85028,400,NULL,7:1,NULL,No,yes,NULL,TRUE,87,3,6,156,189,Yes,A,2
Paradise Valley High School,"Phoenix,AZ",85032,1500,68,18.4:1,85,yes,yes,31,TRUE,43,3,45,980,801,Yes,A,4
Phoenix Christian Preparatory School,"Phoenix,AZ",85015,300,NULL,16:1,NULL,yes,yes,NULL,TRUE,30,6,33,254,170,Yes,B,1
Phoenix College Preparatory Academy,"Phoenix,AZ",85013,450,81,NULL1:1,98,yes,yes,97,TRUE,12,0,76,38,66,No,B+,6
Phoenix Collegiate Academy Charter School,"Phoenix,AZ",85040,550,81,NULL1:1,98,No,yes,92,TRUE,2,0,89,203,189,No,D,7
Phoenix Union Bioscience High School,"Phoenix,AZ",85004,800,14,15.5:1,98,yes,yes,52,TRUE,14,6,73,174,152,Yes,A+,0
Pillar Academy Online,"Phoenix,AZ",85021,200,Unranked,NULL1:1,NULL,yes,yes,19,TRUE,19%,2,70,29,24,No,NULL,2
Pinnacle High School,"Phoenix,AZ",85050,1800,27,25.7:1,98,yes,yes,6,TRUE,79,4,12,1288,1175,yes,A-,3
Precision Academy,"Phoenix,AZ",85035,350,237,NULL1:1,50,No,yes,86,TRUE,1%,0,96,36,49,No,NULL,1
Premier Charter High School,"Phoenix,AZ",85033,500,Unranked,NULL1:1,35,yes,yes,89,TRUE,3%,1,89,125,121,No,C,4
Prospect School,"Phoenix,AZ",85032,250,NULL,NULL,95,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,A,4
Pvonline,"Phoenix,AZ",85032,1000,Unranked,5.4:1,NULL,yes,yes,NULL,TRUE,65%,0,20,34,40,No,B-,2
Red Medical Arts Academy,"Phoenix,AZ",85019,350,121,NULL1:1,92,No,yes,89,TRUE,8%,1,73,171,179,No,NULL,3
Roadrunner School,"Phoenix,AZ",85028,480,731,9.6:1,NULL,No,yes,34,TRUE,51%,3,30,153,49,No,NULL,5
Rsd High School,"Phoenix,AZ",85029,820,Unranked,NULL1:1,16,No,yes,31,TRUE,50%,0,36,74,57,No,NULL,6
Scottsdale Christian Academy,"Phoenix,AZ",85032,600,NULL,15:1,NULL,No,yes,NULL,TRUE,68%,8,3,414,371,No,B+,1
Shadow Mountain High School,"Phoenix,AZ",85028,1100,101,19.3:1,92,yes,yes,24,TRUE,61,1,27,730,636,Yes,B+,7
Shea Middle School,"Phoenix,AZ",85028,750,393,16.6:1,NULL,No,yes,32,TRUE,55,2,32,300,292,No,B+,4
Shearim Torah High School For Girls,"Phoenix,AZ",85014,180,NULL,6:1,83,No,yes,NULL,TRUE,64,36,0,0,36,No,B+,2
Skyline Prep High School,"Phoenix,AZ",85042,400,Unranked,NULL1:1,62,yes,yes,5,TRUE,15,3,44,83,71,No,B-,3
Sonoran Science Academy - Phoenix,"Phoenix,AZ",85008,670,456,NULL1:1,NULL,yes,yes,87,TRUE,71,3,50,159,141,No,B-,5
Sonoran Trails Middle School,"Phoenix,AZ",85085,550,187,21.5:1,NULL,No,yes,8,TRUE,89,2,8,433,433,No,A-,3
South Mountain High School,"Phoenix,AZ",85040,1200,237,16.5:1,71,yes,yes,83,TRUE,3,0,78,839,883,yes,C,7
South Pointe High School,"Phoenix,AZ",85042,950,456,NULL1:1,NULL,yes,yes,0,TRUE,3,0,66,247,235,No,B,4
South Ridge High School,"Phoenix,AZ",85043,800,80,NULL1:1,86,No,yes,67,TRUE,7,2,78,206,239,No,B-,6
Southwest Key Transitional Learning Center,"Phoenix,AZ",85017,300,Unranked,36.8:1,1,No,yes,93,TRUE,0,0,100,279,89,No,NULL,2
Southwest Leadership Academy,"Phoenix,AZ",85043,600,Unranked,NULL1:1,24,No,yes,50,TRUE,7,0,83,209,159,No,D-,4
St Marys High School,"Phoenix,AZ",85004,1100,Unranked,14:1,99,yes,yes,NULL,TRUE,13,4,69,291,252,Yes,C,5
Starshine Academy,"Phoenix,AZ",85008,400,NULL,NULL1:1,21,No,yes,54,TRUE,6,1,57,132,89,No,NULL,2
Sunnyslope High School,"Phoenix,AZ",85021,1300,32,22.1:1,91,yes,yes,45,TRUE,41%,2,49,998,1034,yes,A,6
Suns-diamondbacks Education Academy,"Phoenix,AZ",85014,500,170,24.4:1,30.01,yes,yes,86,TRUE,4%,0,79,126,81,No,C,3
Sweetwater Community School,"Phoenix,AZ",85032,350,Unranked,13.6:1,30,yes,yes,28,TRUE,46%,2,44,126,64,No,B-,3
System Phoenix,"Phoenix,AZ",85006,700,NULL,NULL1:1,NULL,No,yes,86,TRUE,10,1,78,85,71,No,NULL,6
Thunderbird High School,"Phoenix,AZ",85023,1500,43,22.4:1,93,yes,yes,44,TRUE,51,3,36,801,730,Yes,A-,8
Trevor Browne High School,"Phoenix,AZ",85033,1700,194,20.8:1,79,yes,yes,81,TRUE,3,1,91,1600,1441,Yes,C,7
Tumbleweed Transitional Learning Center,"Phoenix,AZ",85013,500,711,30.5:1,NULL,No,yes,95,TRUE,2,0,87,36,25,No,NULL,2
Valley Lutheran High School,"Phoenix,AZ",85013,600,NULL,9:1,NULL,yes,yes,NULL,TRUE,54,11,16,86,78,No,B,4
Victory High School - Campus,"Phoenix,AZ",85041,800,NULL,NULL1:1,NULL,yes,yes,86,TRUE,0,9,82,10,12,No,D+,1
Vista Peak,"Phoenix,AZ",85027,1000,285,4:1,NULL,yes,yes,43,TRUE,64,0,15,49,12,No,NULL,6
Vista Verde Middle School,"Phoenix,AZ",85032,1200,422,20:1,NULL,No,yes,52,TRUE,32,2,56,344,312,No,B,8
Washington High School,"Phoenix,AZ",85021,1800,56,23.3:1,91,yes,yes,66,TRUE,17,6,60,850,890,Yes,A-,5
West Phoenix High School,"Phoenix,AZ",85019,1600,237,NULL1:1,22,yes,yes,83,TRUE,2,0,90,225,189,No,C,3
West-mec - Barry Goldwater High School,"Phoenix,AZ",85031,650,Unranked,NULL,19,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,B,
West-mec - Cortez High School,"Phoenix,AZ",85051,590,Unranked,NULL1:1,18,yes,yes,NULL,TRUE,50,0,0,2,0,No,B-,4
West-mec - Greenway High School,"Phoenix,AZ",85053,710,Unranked,NULL,18,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,B+,6
West-mec - Moon Valley High School,"Phoenix,AZ",85029,680,Unranked,NULL1:1,18,yes,yes,NULL,TRUE,100,0,0,2,0,No,B+,2
West-mec - North Canyon High School,"Phoenix,AZ",85024,720,Unranked,NULL1:1,19,yes,yes,NULL,TRUE,50,0,17,3,3,No,B,7
West-mec - Paradise Valley High School,"Phoenix,AZ",85032,690,Unranked,NULL1:1,18,yes,yes,NULL,TRUE,0,0,0,0,1,No,A,4
West-mec - Pinnacle High School,"Phoenix,AZ",85050,750,Unranked,NULL,98,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,A-,3
West-mec - Shadow Mountain High School,"Phoenix,AZ",85028,680,Unranked,NULL,92,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,B+,5
West-mec - Sunnyslope High School,"Phoenix,AZ",85021,670,Unranked,NULL,18,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,A,2
West-mec - Thunderbird High School,"Phoenix,AZ",85023,700,Unranked,NULL,18,yes,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,A-,4
West-mec - Tonopah Valley High School,"Phoenix,AZ",85354,610,Unranked,NULL,NULL,No,yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,B,1
West-mec - Washington High School,"Phoenix,AZ",85021,730,Unranked,NULL1:1,NULL,yes,yes,NULL,TRUE,0,0,100,1,0,No,A-,6
Western School Of Science And Technology,"Phoenix,AZ",85033,580,14,NULL1:1,95.5,yes,yes,84,TRUE,1,0,97,179,200,No,C+,0
Westland School,"Phoenix,AZ",85033,560,Unranked,NULL1:1,64.9,No,yes,76,TRUE,24,1,54,130,159,No,B+,2
Xavier College Preparatory,"Phoenix,AZ",85012,850,8,14:1,NULL,yes,yes,NULL,TRUE,83,6,8,0,1206,Yes,A+,7
Yeshiva High School Of Arizona,"Phoenix,AZ",85020,300,Unranked,3:1,NULL,No,yes,NULL,TRUE,100,0,0,21,0,No,B,3
